"","x"
"153",141.6666667
"154",110.6666667
"155",152
"156",93.75
"157",120.1818182
"158",95.5
"159",102
"160",99.6
"161",90.83333333
"162",116.0833333
"163",137
"164",111.25
"165",127.25
"166",143.8333333
"167",115.3333333
"168",187.8888889
"169",121.5
"170",141
"171",88.55555556
"172",112.6666667
"173",101.1666667
"174",138.9166667
"175",120.0833333
"176",123.1666667
"177",101.0833333
"178",120.75
"179",113.75
"180",87.75
"181",95.25
"182",117
"183",121.1666667
"184",110.5833333
"185",100
"186",118.8181818
"187",70.58333333
"188",81.91666667
"189",83.5
"190",139.5
"191",117.25
"192",95
"193",103.75
"194",98.77777778
"195",115.1666667
"196",86.33333333
"197",119.5833333
"198",94.66666667
"199",90
"200",125.0833333
"201",124.3333333
"202",90.75
"203",125.75
"204",148.3333333
"205",130
"206",102.8333333
"207",110.1666667
"208",97.25
"209",106
"210",92.58333333
"211",108.8333333
"212",114.25
"213",142.4444444
"214",130.8333333
"215",147.9166667
"216",100.25
"217",135.3333333
"218",101.1
"219",92.83333333
"220",90.91666667
"221",114.75
"222",79.75
"223",96.41666667
"224",93.16666667
"225",105.1666667
"226",91.08333333
"227",89.33333333
"228",98.08333333
"229",90.91666667
"230",67.75
"231",97.08333333
"232",99.91666667
"233",129.75
"234",130.25
"235",99.75
"236",108.2222222
"237",101.9166667
"238",98.41666667
"239",126.5
"240",123.25
"241",97
"242",105.0833333
"243",132.1666667
"244",114.6666667
"245",94.66666667
"246",122
"247",123.1666667
"248",130.6666667
"249",151.6666667
"250",135.5
"251",136.3333333
"252",145.5833333
"253",126.75
"254",131.9166667
"255",141.9166667
"256",133.9166667
"257",154.4166667
"258",130.4166667
"259",132
"260",137
"261",133.5
"262",81.54545455
"263",112.0833333
"264",135.6666667
"265",118.5833333
"266",129.5
"267",131.75
"268",123.9166667
"269",107.5
"270",127.6666667
"271",126.3333333
"272",127.25
"273",131.0833333
"274",118
"275",98
"276",93.08333333
"277",88
"278",119.25
"279",107
"280",119.5
"281",130.75
"282",133.9166667
"283",139.75
"284",116.582638488016
"285",118.75
"286",119.6666667
"287",100
"288",132.5833333
"289",128.0833333
"290",128.8333333
"291",113.0833333
"292",88.08333333
"293",120.5833333
"294",101.6666667
"295",121.8333333
"296",118.3333333
"297",117.5
"298",91.66666667
"299",106.8333333
"300",94.33333333
"301",109.5833333
"302",111
"303",81.83333333
"304",91.5
"305",84.66666667
"306",75.16666667
"307",116.582638488016
"308",116.582638488016
"309",116.582638488016
"310",116.582638488016
"311",116.582638488016
"312",116.582638488016
"313",116.582638488016
"314",116.582638488016
"315",116.582638488016
"316",116.582638488016
"317",116.582638488016
"318",116.582638488016
"319",116.582638488016
"320",139.5555556
"321",121.1666667
"322",121.4444444
"323",130.25
"324",87.66666667
"325",133
"326",116.582638488016
"327",116.582638488016
"328",116.582638488016
"329",110.3333333
"330",87.33333333
"331",143.8571429
"332",91
"333",86
"334",89.08333333
"335",115.9166667
"336",97.25
"337",108.1666667
"338",127.5833333
"339",113.6666667
"340",104
"341",107.8181818
"342",107.25
"343",99.75
"344",110.1666667
"345",105.5
"346",98.16666667
"347",102.1666667
"348",96.16666667
"349",78.33333333
"350",88.66666667
"351",94.83333333
"352",107.1666667
"353",100.5
"354",99.08333333
"355",125.4444444
"356",101.5833333
"357",98
"358",118.0833333
"359",127.2727273
"360",127.1666667
"361",117.5
"362",125
"363",151.4285714
"364",116.582638488016
"365",75.08333333
"366",145.9166667
"367",90.33333333
"368",110.8888889
"369",125
"370",106.8888889
"371",91.83333333
"372",166.6666667
"373",111.6666667
"374",103.25
"375",96.18181818
"376",88.91666667
"377",101.5833333
"378",127.25
"379",100.6666667
"380",147.25
"381",119.25
"382",103.3333333
