"","Plant.height","Plant.height.is.missing","Flag.leaf.length","Flag.leaf.length.is.missing","Flag.leaf.width","Flag.leaf.width.is.missing"
"176",121.5,0,40.95833333,0,1.391666667,0
"177",141,0,42.24444444,0,1.188888889,0
"178",88.55555556,0,25.27777778,0,1.088888889,0
"179",112.6666667,0,25.05555556,0,1.077777778,0
"180",101.1666667,0,23.79166667,0,1.083333333,0
"181",138.9166667,0,37.8,0,1.708333333,0
"182",120.0833333,0,33.36666667,0,1.433333333,0
"183",123.1666667,0,38.4,0,1.466666667,0
"184",101.0833333,0,32.45,0,1.45,0
"185",120.75,0,31.38333333,0,0.916666667,0
"186",113.75,0,25.425,0,0.866666667,0
"187",87.75,0,23.48333333,0,0.983333333,0
"188",95.25,0,30.86666667,0,1.025,0
"189",117,0,29.78333333,0,0.925,0
"191",121.1666667,0,28.88333333,0,1.375,0
"192",110.5833333,0,27.39166667,0,0.991666667,0
"194",100,0,28.075,0,1.591666667,0
"195",118.8181818,0,28.74166667,0,1.066666667,0
"196",70.58333333,0,25.14166667,0,1.058333333,0
"197",81.91666667,0,22.04166667,0,0.883333333,0
"198",83.5,0,20.96666667,0,1.1,0
"199",139.5,0,28.20833333,0,1.183333333,0
"200",117.25,0,27.25,0,1.158333333,0
"201",95,0,22.8,0,0.958333333,0
"202",103.75,0,24.26666667,0,1.358333333,0
"203",98.77777778,0,25.83333333,0,1.183333333,0
"204",115.1666667,0,26.46666667,0,1.275,0
"205",86.33333333,0,29.27777778,0,1,0
"206",119.5833333,0,29.33333333,0,1.158333333,0
"207",94.66666667,0,28.63333333,0,0.966666667,0
"208",90,0,28.76666667,0,1.1,0
"210",125.0833333,0,35.825,0,1.183333333,0
"211",124.3333333,0,24.96666667,0,1.133333333,0
"212",90.75,0,27.62727273,0,0.981818182,0
"213",125.75,0,26.51666667,0,1.241666667,0
"214",148.3333333,0,30.50833333,0,1.175,0
"216",130,0,27.81666667,0,1.408333333,0
"217",102.8333333,0,23.63333333,0,1.4,0
"218",110.1666667,0,21.175,0,0.991666667,0
"219",97.25,0,19.28333333,0,0.591666667,0
"220",106,0,37.61666667,0,1.108333333,0
"221",92.58333333,0,34.975,0,1.075,0
"222",108.8333333,0,24.875,0,1.45,0
"223",114.25,0,28.43333333,0,1.1,0
"224",142.4444444,0,35.85,0,1.041666667,0
"225",130.8333333,0,29.80833333,0,1.216666667,0
"226",147.9166667,0,36.325,0,1.541666667,0
"227",100.25,0,26.59166667,0,1.108333333,0
"228",135.3333333,0,33.75833333,0,1.458333333,0
"229",101.1,0,25.31111111,0,1.511111111,0
"230",92.83333333,0,26.25,0,0.966666667,0
"231",90.91666667,0,29.2,0,0.941666667,0
"232",114.75,0,34.55,0,1.408333333,0
"233",79.75,0,21.425,0,1.466666667,0
"234",96.41666667,0,28.14166667,0,1.166666667,0
"235",93.16666667,0,27.74166667,0,1.291666667,0
"236",105.1666667,0,32.88888889,0,1.622222222,0
"237",91.08333333,0,29.35833333,0,1.258333333,0
"238",89.33333333,0,31.025,0,1.141666667,0
"239",98.08333333,0,31.94166667,0,0.941666667,0
"240",90.91666667,0,27.99166667,0,1.008333333,0
"241",67.75,0,18.28333333,0,0.966666667,0
"243",97.08333333,0,24.95,0,1.383333333,0
"244",99.91666667,0,24.6,0,1.375,0
"245",129.75,0,28.00833333,0,0.968333333,0
"246",130.25,0,27.75,0,1.075,0
"247",99.75,0,28.51666667,0,1.316666667,0
"248",108.2222222,0,25.51111111,0,0.777777778,0
"249",101.9166667,0,23.65,0,0.9875,0
"250",98.41666667,0,24.00833333,0,1.425,0
"251",126.5,0,33.45833333,0,1.033333333,0
"252",123.25,0,26.15,0,1.233333333,0
"253",97,0,22.98333333,0,0.858333333,0
"254",105.0833333,0,31.70833333,0,1.1,0
"255",132.1666667,0,30.66666667,0,1.441666667,0
"256",114.6666667,0,24.56666667,0,1.266666667,0
"257",94.66666667,0,23.59166667,0,0.716666667,0
"258",122,0,28.16666667,0,0.991666667,0
"259",123.1666667,0,26.91666667,0,1.291666667,0
"260",130.6666667,0,40,0,1.525,0
"261",151.6666667,0,35.15833333,0,1.083333333,0
"262",135.5,0,36.825,0,1.5,0
"263",136.3333333,0,24.275,0,1.233333333,0
"264",145.5833333,0,30.625,0,1.491666667,0
"265",126.75,0,28.75,0,0.991666667,0
"266",131.9166667,0,30.64166667,0,1.533333333,0
"267",141.9166667,0,35.35833333,0,1.458333333,0
"268",133.9166667,0,26.11666667,0,1.325,0
"269",154.4166667,0,23.125,0,1.233333333,0
"270",130.4166667,0,21.1,0,0.675,0
"271",132,0,31.66666667,0,1.15,0
"272",137,0,30.675,0,1.1,0
"274",133.5,0,29.34166667,0,1.041666667,0
"275",81.54545455,0,26.73636364,0,0.845454545,0
"276",112.0833333,0,28.41666667,0,1.316666667,0
"280",135.6666667,0,35.19166667,0,0.966666667,0
"282",118.5833333,0,30.45,0,1.2,0
"283",129.5,0,25.45,0,0.95,0
"284",131.75,0,29.41666667,0,1.425,0
"287",123.9166667,0,25.675,0,1.108333333,0
"289",107.5,0,26.83333333,0,1.716666667,0
"290",127.6666667,0,23.14166667,0,1.008333333,0
"291",126.3333333,0,26.80833333,0,1.041666667,0
"294",127.25,0,37.81111111,0,1.333333333,0
"295",131.0833333,0,31.26666667,0,1.644444444,0
"297",118,0,28.775,0,1.008333333,0
"298",98,0,28.22,0,0.92,0
"299",93.08333333,0,29.74166667,0,1.433333333,0
"300",88,0,28.58333333,0,0.9,0
"301",119.25,0,27.81666667,0,1.258333333,0
"302",107,0,22.94166667,0,0.791666667,0
"303",119.5,0,25.49166667,0,0.925,0
"304",130.75,0,31.375,0,1.25,0
"305",133.9166667,0,40.75833333,0,1.525,0
"306",139.75,0,31.26666667,0,1.191666667,0
"307",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"308",118.75,0,28.14166667,0,1.083333333,0
"309",119.6666667,0,31.79166667,0,1.55,0
"312",100,0,40.34444444,0,1.077777778,0
"313",132.5833333,0,33.3,0,1.716666667,0
"314",128.0833333,0,35.94166667,0,1.541666667,0
"315",128.8333333,0,27.33636364,0,1.018181818,0
"316",113.0833333,0,33.5,0,1.408333333,0
"317",88.08333333,0,26.625,0,1.416666667,0
"318",120.5833333,0,36.88888889,0,1.544444444,0
"319",101.6666667,0,27.24166667,0,1.166666667,0
"320",121.8333333,0,35.98333333,0,1.608333333,0
"321",118.3333333,0,27.525,0,1.158333333,0
"322",117.5,0,33.1,0,1.408333333,0
"323",91.66666667,0,22.50833333,0,1.175,0
"324",106.8333333,0,29.67777778,0,1.388888889,0
"325",94.33333333,0,25.3,0,1.275,0
"326",109.5833333,0,30.8,0,1.4,0
"327",111,0,26.33333333,0,1.05,0
"328",81.83333333,0,23.88333333,0,1.35,0
"329",91.5,0,22.88333333,0,1.216666667,0
"330",84.66666667,0,28.31666667,0,1.016666667,0
"331",75.16666667,0,16.2,0,1.25,0
"332",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"333",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"334",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"335",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"336",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"337",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"338",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"339",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"340",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"341",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"342",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"343",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"344",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"347",139.5555556,0,38.03333333,0,1.433333333,0
"348",121.1666667,0,25,0,1.425,0
"349",121.4444444,0,30.1,0,0.95,0
"350",130.25,0,33.95833333,0,1.166666667,0
"351",87.66666667,0,30.6342112486207,1,1.22165516956499,1
"352",133,0,45.33333333,0,1.766666667,0
"353",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"354",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"355",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
